runtime,variant,samples,accuracy,macro_f1,parse_success_rate,mean_latency_ms,p95_latency_ms,throughput_samples_s,prompt_tokens_mean,generated_tokens_mean,artifact_size_mb,peak_process_rss_mb,notes
llama_cpp,gguf_q8_0,300,0.2,0.1537446739748364,1.0,268.52349168336025,339.1167750007299,3.7240689584775253,181.99666666666667,7.1866666666666665,1749.4449768066406,3064.203125,"llama.cpp runtime, Qwen3-1.7B-Q8_0.gguf"
transformers,hf_full_precision,300,0.19,0.14286102634255848,0.9433333333333334,389.76110456996446,479.65032020201767,2.565674173936189,181.99666666666667,8.093333333333334,3875.236328125,1407.109375,baseline transformers runtime
