,accuracy,f1,mean_batch_latency_ms,p95_batch_latency_ms,throughput_samples_s,memory_footprint_mb,state_dict_size_mb,params_million,latency_speedup_vs_baseline,throughput_gain_vs_baseline,memory_reduction_vs_baseline,size_reduction_vs_baseline,accuracy_delta_pp_vs_baseline
baseline_float32,0.8859999775886536,0.880503144654088,46.23198270837747,49.35666700475849,335.2657422843196,54.752052307128906,54.77039337158203,14.350874,1.0,1.0,1.0,1.0,0.0
bnb_8bit,0.8960000276565552,0.8925619834710744,238.37393050052924,249.414459001855,65.0238890110745,41.446372985839844,41.52283191680908,14.350874,0.1939473104768679,0.1939473104768679,1.3210336239997393,1.319042821581014,1.0000050067901611
bnb_4bit,0.7319999933242798,0.7817589576547231,57.172465250914684,59.6873750037048,271.10952679711534,39.228759765625,39.55116367340088,12.025538,0.8086407067716539,0.8086407067716539,1.3957120396935543,1.3847985314378108,-15.399998426437378
